Well,CFUs,Colonies Counted,CellType,drug1,drug1_conc,drug1_units,drug2,drug2_conc,drug2_units,drug3,drug3_conc,drug3_units,exp_id
A1,2021264.06842998,9,BW25113,Cipro,25,ug/mL,DPI,0,ug/mL,Aceitic Acid,12.5,ug/mL,48h
B1,2125140.7263757,12,BW25113,Cipro,25,ug/mL,DPI,0,ug/mL,Aceitic Acid,1.25,ug/mL,48h
C1,0,NaN,BW25113,Cipro,25,ug/mL,DPI,0,ug/mL,Aceitic Acid,0.125,ug/mL,48h
D1,0,NaN,BW25113,Cipro,25,ug/mL,DPI,0,ug/mL,Aceitic Acid,0,ug/mL,48h
E1,0,NaN,BW25113,Cipro,25,ug/mL,DPI,0,ug/mL,Aceitic Acid,12.5,ug/mL,48h
F1,0,NaN,BW25113,Cipro,25,ug/mL,DPI,0,ug/mL,Aceitic Acid,1.25,ug/mL,48h
G1,2718153.17717435,6,BW25113,Cipro,25,ug/mL,DPI,0,ug/mL,Aceitic Acid,0.125,ug/mL,48h
H1,2299683.19394372,4,BW25113,Cipro,25,ug/mL,DPI,0,ug/mL,Aceitic Acid,0,ug/mL,48h
A2,1371290.01322757,13,BW25113,Cipro,2.5,ug/mL,DPI,0,ug/mL,Aceitic Acid,12.5,ug/mL,48h
B2,9869802.98800467,16,BW25113,Cipro,2.5,ug/mL,DPI,0,ug/mL,Aceitic Acid,1.25,ug/mL,48h
C2,133333.333333333,2,BW25113,Cipro,2.5,ug/mL,DPI,0,ug/mL,Aceitic Acid,0.125,ug/mL,48h
D2,6873652.18080127,18,BW25113,Cipro,2.5,ug/mL,DPI,0,ug/mL,Aceitic Acid,0,ug/mL,48h
E2,2969419.28754414,17,BW25113,Cipro,2.5,ug/mL,DPI,0,ug/mL,Aceitic Acid,12.5,ug/mL,48h
F2,2324285.19972298,14,BW25113,Cipro,2.5,ug/mL,DPI,0,ug/mL,Aceitic Acid,1.25,ug/mL,48h
G2,391052.290381384,3,BW25113,Cipro,2.5,ug/mL,DPI,0,ug/mL,Aceitic Acid,0.125,ug/mL,48h
H2,7150263.73800093,12,BW25113,Cipro,2.5,ug/mL,DPI,0,ug/mL,Aceitic Acid,0,ug/mL,48h
A3,5728872.24875725,25,BW25113,Cipro,0.25,ug/mL,DPI,0,ug/mL,Aceitic Acid,12.5,ug/mL,48h
B3,18099679.0498026,20,BW25113,Cipro,0.25,ug/mL,DPI,0,ug/mL,Aceitic Acid,1.25,ug/mL,48h
C3,873378.713350638,8,BW25113,Cipro,0.25,ug/mL,DPI,0,ug/mL,Aceitic Acid,0.125,ug/mL,48h
D3,1496284.79048878,17,BW25113,Cipro,0.25,ug/mL,DPI,0,ug/mL,Aceitic Acid,0,ug/mL,48h
E3,6257681.89700191,9,BW25113,Cipro,0.25,ug/mL,DPI,0,ug/mL,Aceitic Acid,12.5,ug/mL,48h
F3,3518742.99301569,20,BW25113,Cipro,0.25,ug/mL,DPI,0,ug/mL,Aceitic Acid,1.25,ug/mL,48h
G3,NaN,NaN,BW25113,Cipro,0.25,ug/mL,DPI,0,ug/mL,Aceitic Acid,0.125,ug/mL,48h
H3,19495984.0130413,12,BW25113,Cipro,0.25,ug/mL,DPI,0,ug/mL,Aceitic Acid,0,ug/mL,48h
A4,302375556460.353,20,BW25113,Cipro,0,ug/mL,DPI,0,ug/mL,Aceitic Acid,12.5,ug/mL,48h
B4,199817469626.162,14,BW25113,Cipro,0,ug/mL,DPI,0,ug/mL,Aceitic Acid,1.25,ug/mL,48h
C4,18566135.2862619,14,BW25113,Cipro,0,ug/mL,DPI,0,ug/mL,Aceitic Acid,0.125,ug/mL,48h
D4,126029434152.281,13,BW25113,Cipro,0,ug/mL,DPI,0,ug/mL,Aceitic Acid,0,ug/mL,48h
E4,221139681.672474,15,BW25113,Cipro,0,ug/mL,DPI,0,ug/mL,Aceitic Acid,12.5,ug/mL,48h
F4,4386785340.15528,6,BW25113,Cipro,0,ug/mL,DPI,0,ug/mL,Aceitic Acid,1.25,ug/mL,48h
G4,319325531.592956,5,BW25113,Cipro,0,ug/mL,DPI,0,ug/mL,Aceitic Acid,0.125,ug/mL,48h
H4,NaN,NaN,BW25113,Cipro,0,ug/mL,DPI,0,ug/mL,Aceitic Acid,0,ug/mL,48h
A5,100250023706.066,11,BW25113,Cipro,0,ug/mL,DPI,10,ug/mL,Aceitic Acid,12.5,ug/mL,48h
B5,15477222462.3406,13,BW25113,Cipro,0,ug/mL,DPI,10,ug/mL,Aceitic Acid,1.25,ug/mL,48h
C5,NaN,NaN,BW25113,Cipro,0,ug/mL,DPI,10,ug/mL,Aceitic Acid,0.125,ug/mL,48h
D5,NaN,NaN,BW25113,Cipro,0,ug/mL,DPI,10,ug/mL,Aceitic Acid,0,ug/mL,48h
E5,3640942.95369063,8,BW25113,Cipro,0,ug/mL,DPI,10,ug/mL,Aceitic Acid,12.5,ug/mL,48h
F5,59895050.8129768,3,BW25113,Cipro,0,ug/mL,DPI,10,ug/mL,Aceitic Acid,1.25,ug/mL,48h
G5,10537319.5973935,14,BW25113,Cipro,0,ug/mL,DPI,10,ug/mL,Aceitic Acid,0.125,ug/mL,48h
H5,92997327786.7934,17,BW25113,Cipro,0,ug/mL,DPI,10,ug/mL,Aceitic Acid,0,ug/mL,48h
A6,927693767.669602,18,BW25113,Cipro,0,ug/mL,DPI,1,ug/mL,Aceitic Acid,12.5,ug/mL,48h
B6,172553377565.903,16,BW25113,Cipro,0,ug/mL,DPI,1,ug/mL,Aceitic Acid,1.25,ug/mL,48h
C6,443693470626.912,16,BW25113,Cipro,0,ug/mL,DPI,1,ug/mL,Aceitic Acid,0.125,ug/mL,48h
D6,281081732064.97,16,BW25113,Cipro,0,ug/mL,DPI,1,ug/mL,Aceitic Acid,0,ug/mL,48h
E6,907096414293.865,15,BW25113,Cipro,0,ug/mL,DPI,1,ug/mL,Aceitic Acid,12.5,ug/mL,48h
F6,136480347852.795,12,BW25113,Cipro,0,ug/mL,DPI,1,ug/mL,Aceitic Acid,1.25,ug/mL,48h
G6,165207302666.506,15,BW25113,Cipro,0,ug/mL,DPI,1,ug/mL,Aceitic Acid,0.125,ug/mL,48h
H6,NaN,NaN,BW25113,Cipro,0,ug/mL,DPI,1,ug/mL,Aceitic Acid,0,ug/mL,48h
A7,127919567722.462,19,BW25113,Cipro,0,ug/mL,DPI,0.1,ug/mL,Aceitic Acid,12.5,ug/mL,48h
B7,196899426473.619,20,BW25113,Cipro,0,ug/mL,DPI,0.1,ug/mL,Aceitic Acid,1.25,ug/mL,48h
C7,NaN,NaN,BW25113,Cipro,0,ug/mL,DPI,0.1,ug/mL,Aceitic Acid,0.125,ug/mL,48h
D7,6297846.87361236,8,BW25113,Cipro,0,ug/mL,DPI,0.1,ug/mL,Aceitic Acid,0,ug/mL,48h
E7,6465291205.84266,6,BW25113,Cipro,0,ug/mL,DPI,0.1,ug/mL,Aceitic Acid,12.5,ug/mL,48h
F7,2936027722.27881,8,BW25113,Cipro,0,ug/mL,DPI,0.1,ug/mL,Aceitic Acid,1.25,ug/mL,48h
G7,496303944.616617,4,BW25113,Cipro,0,ug/mL,DPI,0.1,ug/mL,Aceitic Acid,0.125,ug/mL,48h
H7,930133191.079416,4,BW25113,Cipro,0,ug/mL,DPI,0.1,ug/mL,Aceitic Acid,0,ug/mL,48h
A8,75809373535.4808,21,BW25113,Cipro,0,ug/mL,DPI,0,ug/mL,Aceitic Acid,12.5,ug/mL,48h
B8,98525891170.9675,15,BW25113,Cipro,0,ug/mL,DPI,0,ug/mL,Aceitic Acid,1.25,ug/mL,48h
C8,46373336720.2953,11,BW25113,Cipro,0,ug/mL,DPI,0,ug/mL,Aceitic Acid,0.125,ug/mL,48h
D8,20078662528.6596,14,BW25113,Cipro,0,ug/mL,DPI,0,ug/mL,Aceitic Acid,0,ug/mL,48h
E8,478870749090.229,15,BW25113,Cipro,0,ug/mL,DPI,0,ug/mL,Aceitic Acid,12.5,ug/mL,48h
F8,141347255659.137,13,BW25113,Cipro,0,ug/mL,DPI,0,ug/mL,Aceitic Acid,1.25,ug/mL,48h
G8,12763224691.59,5,BW25113,Cipro,0,ug/mL,DPI,0,ug/mL,Aceitic Acid,0.125,ug/mL,48h
H8,51786123393.4613,5,BW25113,Cipro,0,ug/mL,DPI,0,ug/mL,Aceitic Acid,0,ug/mL,48h
